# z        bx_sc        by_sc        bx_wo_sc        by_wo_sc
3.2001000e+00 1.6063052e+00 1.6067508e+00 1.6063052e+00 1.6067508e+00
3.2103000e+00 1.6387195e+00 1.6393431e+00 1.6267572e+00 1.6273420e+00
3.2217000e+00 1.6762377e+00 1.6768630e+00 1.6498678e+00 1.6504528e+00
3.2331000e+00 1.7152806e+00 1.7159484e+00 1.6734244e+00 1.6740098e+00
3.2444000e+00 1.7567401e+00 1.7574527e+00 1.6972906e+00 1.6978762e+00
3.2558000e+00 1.7995418e+00 1.8004076e+00 1.7214694e+00 1.7220552e+00
3.2665000e+00 1.8421912e+00 1.8429559e+00 1.7459637e+00 1.7465496e+00
3.2779000e+00 1.8888101e+00 1.8897801e+00 1.7694664e+00 1.7700524e+00
3.2892000e+00 1.9368411e+00 1.9376632e+00 1.7944452e+00 1.7951778e+00
3.3006000e+00 1.9872288e+00 1.9880570e+00 1.8198944e+00 1.8206280e+00
3.3120000e+00 2.0389390e+00 2.0397731e+00 1.8456714e+00 1.8464060e+00
3.3233000e+00 2.0918470e+00 2.0928507e+00 1.8717794e+00 1.8725148e+00
3.3341000e+00 2.1441640e+00 2.1450091e+00 1.8967141e+00 1.8974504e+00
3.3454000e+00 2.2000147e+00 2.2010339e+00 1.9234829e+00 1.9242200e+00
3.3568000e+00 2.2575153e+00 2.2584848e+00 1.9504393e+00 1.9511771e+00
3.3681000e+00 2.3165495e+00 2.3175247e+00 1.9780296e+00 1.9787219e+00
3.3795000e+00 2.3762012e+00 2.3771817e+00 2.0057058e+00 2.0064448e+00
3.3903000e+00 2.4341387e+00 2.4350618e+00 2.0335910e+00 2.0344867e+00
3.4016000e+00 2.4961457e+00 2.4970720e+00 2.0604755e+00 2.0613246e+00
3.4130000e+00 2.5583746e+00 2.5592381e+00 2.0891482e+00 2.0898400e+00
3.4243000e+00 2.6217444e+00 2.6227942e+00 2.1176898e+00 2.1185899e+00
3.4357000e+00 2.6847318e+00 2.6855280e+00 2.1460086e+00 2.1469100e+00
3.4471000e+00 2.7464771e+00 2.7472017e+00 2.1731495e+00 2.1740519e+00
3.4578000e+00 2.8026018e+00 2.8034435e+00 2.1965820e+00 2.1974336e+00
3.4692000e+00 2.8563788e+00 2.8569533e+00 2.2166779e+00 2.2175286e+00
3.4805000e+00 2.9013829e+00 2.9020007e+00 2.2290409e+00 2.2298894e+00
3.4919000e+00 2.9348959e+00 2.9353650e+00 2.2325440e+00 2.2332869e+00
3.5032000e+00 2.9639773e+00 2.9640356e+00 2.2341528e+00 2.2349990e+00
3.5140000e+00 3.0165777e+00 3.0166192e+00 2.2591132e+00 2.2599501e+00
3.5254000e+00 3.1316950e+00 3.1318040e+00 2.3292950e+00 2.3302270e+00
3.5367000e+00 3.2722440e+00 3.2722931e+00 2.4321115e+00 2.4331556e+00
3.5481000e+00 3.3746264e+00 3.3745666e+00 2.5118434e+00 2.5130224e+00
3.5594000e+00 3.4384119e+00 3.4381977e+00 2.5521017e+00 2.5532501e+00
3.5708000e+00 3.4780584e+00 3.4778081e+00 2.5581405e+00 2.5593298e+00
3.5815000e+00 3.4927521e+00 3.4921905e+00 2.5376746e+00 2.5386076e+00
3.5929000e+00 3.4796476e+00 3.4790223e+00 2.4929812e+00 2.4937918e+00
3.6043000e+00 3.4380120e+00 3.4372724e+00 2.4310384e+00 2.4319718e+00
3.6156000e+00 3.3896415e+00 3.3886532e+00 2.3727664e+00 2.3734056e+00
3.6270000e+00 3.4192516e+00 3.4182123e+00 2.3744966e+00 2.3751036e+00
3.6378000e+00 3.5958344e+00 3.5948644e+00 2.4808751e+00 2.4816761e+00
3.6492000e+00 3.8191894e+00 3.8180059e+00 2.6430050e+00 2.6440884e+00
3.6605000e+00 3.9351949e+00 3.9338333e+00 2.7475128e+00 2.7489432e+00
3.6719000e+00 3.9960081e+00 3.9946397e+00 2.7881479e+00 2.7894589e+00
3.6833000e+00 4.0454610e+00 4.0437701e+00 2.7907566e+00 2.7920310e+00
